NombrePlato,Ha_sido_pedido,Precio,Id_Producto,TipoPlato,ClasificacionCarta,Personalizacion,PopularidadTemporada,Temporada,Ocasion,TipoCocinaPrimario_Continental,TipoCocinaPrimario_Supranacional,TipoCocinaPrimario_Estatal,TipoCocinaPrimario_Regional,TipoCocinaSecundario_Continental,TipoCocinaSecundario_Supranacional,TipoCocinaSecundario_Estatal,TipoCocinaSecundario_Regional,SaborPrimario,SaborSecundario,SaborExtendidoPrimario,SaborExtendidoSecundario,SaborExtendidoTerciario,TexturaPrincipal,TexturaSecundaria,GruposAlimenticios,NutriScore,TasaRepeticion,PercentilCategoria,Repeticion,TemperaturaConsumo,VolatilidadCostes,Disponibilidad,TiempoConsumo,TipicoReligion,Gluten,Huevos,Lacteos,Carne,Pescado,Moluscos,Crustaceos,Cacahuetes,Frutos secos,Soja,Apio,Mostaza,Sesamo,Altramuz,Sulfitos,AptoIntoleranciaGluten,AptoIntoleranciaLactosa,AptoIntoleranciaFructosa,AptoDietaSinGluten,AptoDietaCetogenica,AptoDietaOvoLactoVegetariana,AptoDietaLactovegetariana,AptoDietaOvovegetariana,AptoDietaVegana,AptoDietaPiscitariana,AptoDietaPaleo,AptoDietaHipercalorica,AptoDiabetes,AptoEmbarazo,AptoHipertension,AptoHipotension,AptoColesterol,AptoDietaBlanda,AptoFacilDeglucion,AptoCristianismo,AptoIslamismo,AptoHinduismo,AptoBudismo,AptoSintoismo,AptoTaoismo,AptoJudaismo,UsaLicuadora,UsaSarten,UsaWok,UsaVaporera,UsaHorno,UsaFreidora,UsaOllaPresion,Carbohidratos,Proteinas,Grasas,Kcal,Alcohol,Cafeina,Cobre,Calcio,Colesterol,Fluor,GrasasSaturadas,VitA,VitC,VitD,VitE,VitK,VitB1,VitB2,VitB3,VitB5,VitB6,VitB12,Fibra,Folato,AcFolico,Yodo,Hierro,Magnesio,Manganeso,Fosforo,Potasio,Selenio,Sodio,Azucar,Zinc,gCarbohidratos,gProteinas,gGrasas,Kcal 100g,CantidadAlcohol,CantidadCafeina,CantidadCobre,CantidadCalcio,CantidadColesterol,CantidadFluor,CantidadGrasasSaturadas,CantidadVitA,CantidadVitC,CantidadVitD,CantidadVitE,CantidadVitK,CantidadVitB1,CantidadVitB2,CantidadVitB3,CantidadVitB5,CantidadVitB6,CantidadVitB12,CantidadFibra,CantidadFolato,CantidadAcFolico,CantidadYodo,CantidadHierro,CantidadMagnesio,CantidadManganeso,CantidadFosforo,CantidadPotasio,CantidadSelenio,CantidadSodio,CantidadAzucar,CantidadZinc,PorcentajeCarbohidratos,PorcentajeProteinas,PorcentajeGrasas,CantidadCarbohidratos,CantidadProteinas,CantidadGrasas,Precio,MargenBeneficio,CosteProduccion,TiempoElaboracion(s),NecesitaRecalentado,TiempoRecalentado(s),NumeroApplianceNecesarios,GradoElaboracionDispensacion
pollo al curry con arroz basmati,no,,195694,principal,carnes,4,baja,todas,Comida Deportiva,,,,,,,,,salado,,,,,,,Carnes_Huevos_Pescados,C,,,Quincenal,Templado,Muy Alta,Muy Alta,Medio,Hinduismo,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,30.65,30.66,30.67,30.68,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,0.57,0.58,0.59,Muy poco,Muy poco,Muy poco,37.75,37.76,37.77,2553,si,160,11,11
pollo asado con puré de patata,si,9,357796,principal,carnes,2,baja,todas,Comida Trabajo,,,,,,,,,salado,,,,,,,Carnes_Huevos_Pescados,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fabada asturiana,si,8,34297,plato unico,sopas y guisos,2,media,otoño_invierno,Comida Deportiva,,,,,,,,,salado,,,,,,,Carnes_Huevos_Pescados,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lentejas con chorizo,si,8,219546,plato unico,sopas y guisos,2,media,otoño_invierno,Comida Habitual,,,,,,,,,salado,,,,,,,Carnes_Huevos_Pescados,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pizza peperoni,si,8,542880,plato unico,pizza,3,muy baja,todas,Cena Habitual,,,,,,,,,salado,,,,,,,Harinas_Pastas,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pizza carbonara,si,8,241730,plato unico,pizza,3,muy baja,todas,Fiesta Infantil,,,,,,,,,salado,,,,,,,Harinas_Pastas,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pizza vegetal,si,7,246803,plato unico,pizza,4,muy baja,todas,Comidas Especiales,,,,,,,,,salado,,,,,,,Harinas_Pastas,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
espaguettis boloñesa,si,8,1086989,principal,pasta,3,muy baja,todas,Cenas Especiales,,,,,,,,,salado,,,,,,,Harinas_Pastas,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tallarines carbonara,si,7,610984,principal,pasta,2,muy baja,todas,Aperitivos Especiales,,,,,,,,,salado,,,,,,,Harinas_Pastas,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raviolis al pesto,si,8,1515257,principal,pasta,2,muy baja,todas,Comidas Familiares,,,,,,,,,salado,,,,,,,Harinas_Pastas,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
merluza con patatas al horno,si,12,1087472,principal,pescados,2,baja,todas,Comida Trabajo,,,,,,,,,salado,,,,,,,Carnes_Huevos_Pescados,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bacalao al pilpil,si,14,,principal,pescados,2,baja,todas,Comida Deportiva,,,,,,,,,salado,,,,,,,Carnes_Huevos_Pescados,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crema de calabaza y zanahoria,si,8,617101,entrante,vegetales,1,media,otoño_invierno_primavera,Comida Trabajo,,,,,,,,,salado,,,,,,,Hortalizas_Verduras,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crema de judías verdes y calabacín,si,8,,entrante,vegetales,1,media,otoño_inivierno_primavera,Comida Deportiva,,,,,,,,,salado,,,,,,,Hortalizas_Verduras,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paella de pollo y setas,no,,34196,principal,arroces,2,baja,todas,Comida Habitual,,,,,,,,,salado,,,,,,,Carnes_Huevos_Pescados,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paella de marisco,no,,1540647,principal,arroces,2,media,verano,Cena Habitual,,,,,,,,,salado,,,,,,,Carnes_Huevos_Pescados,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fideguá de pescado y marisco,si,8,,principal,pasta,2,alta,verano,Fiesta Infantil,,,,,,,,,salado,,,,,,,Carnes_Huevos_Pescados,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noodles con gambas y curry,no,,148304,principal,pasta,2,muy baja,todas,Comidas Especiales,,,,,,,,,salado,,,,,,,Carnes_Huevos_Pescados,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrecot en salsa de boletus con puré,si,12,471242,principal,carnes,1,muy baja,todas,Cenas Especiales,,,,,,,,,salado,,,,,,,Carnes_Huevos_Pescados,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carne asada con patatas al horno,si,10,1486833,principal,carnes,1,muy baja,todas,Aperitivos Especiales,,,,,,,,,salado,,,,,,,Carnes_Huevos_Pescados,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agua mineral,si,1,730257,bebida,aguas y zumos,0,muy baja,todas,Comidas Familiares,,,,,,,,,,,,,,,,Agua_BebidaNoAlcohólica,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cola,si,2,216065,bebida,refresco,0,muy baja,todas,Comida Trabajo,,,,,,,,,dulce,,,,,,,Agua_BebidaNoAlcohólica,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
te frío,no,2,384569,bebida,aguas y zumos,0,muy baja,todas,Comida Deportiva,,,,,,,,,dulce,,,,,,,Agua_BebidaNoAlcohólica,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
café frío,no,2,1405875,bebida,cafe,0,muy baja,todas,Comida Trabajo,,,,,,,,,amargo,,,,,,,Agua_BebidaNoAlcohólica,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agua con gas,no,"1,5",215502,bebida,refresco,0,muy baja,todas,Comida Deportiva,,,,,,,,,amargo,,,,,,,Agua_BebidaNoAlcohólica,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerveza,si,2,1375845,bebida,bebida alcoholica,0,muy baja,todas,Comida Habitual,,,,,,,,,amargo,,,,,,,BebidaAlcoholica,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
